Size,Type,Algorithm,Time_microseconds
8000,Reverse Sorted,Standard Merge Sort,17022
8000,Reverse Sorted,Hybrid Merge+Insertion Sort,4271
8000,Nearly Sorted,Standard Merge Sort,17522
8000,Nearly Sorted,Hybrid Merge+Insertion Sort,5608
8100,Random,Standard Merge Sort,20725
8100,Random,Hybrid Merge+Insertion Sort,6429
8100,Reverse Sorted,Standard Merge Sort,17485
8100,Reverse Sorted,Hybrid Merge+Insertion Sort,4436
8100,Nearly Sorted,Standard Merge Sort,19280
8100,Nearly Sorted,Hybrid Merge+Insertion Sort,4565
8200,Random,Standard Merge Sort,18622
8200,Random,Hybrid Merge+Insertion Sort,5483
8200,Reverse Sorted,Standard Merge Sort,17185
8200,Reverse Sorted,Hybrid Merge+Insertion Sort,4687
8200,Nearly Sorted,Standard Merge Sort,17373
8200,Nearly Sorted,Hybrid Merge+Insertion Sort,4451
8300,Random,Standard Merge Sort,18453
8300,Random,Hybrid Merge+Insertion Sort,5458
8300,Reverse Sorted,Standard Merge Sort,18001
8300,Reverse Sorted,Hybrid Merge+Insertion Sort,5104
8300,Nearly Sorted,Standard Merge Sort,18043
8300,Nearly Sorted,Hybrid Merge+Insertion Sort,4590
8400,Random,Standard Merge Sort,19627
8400,Random,Hybrid Merge+Insertion Sort,5664
8400,Reverse Sorted,Standard Merge Sort,18516
8400,Reverse Sorted,Hybrid Merge+Insertion Sort,5115
8400,Nearly Sorted,Standard Merge Sort,18499
8400,Nearly Sorted,Hybrid Merge+Insertion Sort,4478
8500,Random,Standard Merge Sort,19378
8500,Random,Hybrid Merge+Insertion Sort,5834
8500,Reverse Sorted,Standard Merge Sort,17542
8500,Reverse Sorted,Hybrid Merge+Insertion Sort,4640
8500,Nearly Sorted,Standard Merge Sort,18207
8500,Nearly Sorted,Hybrid Merge+Insertion Sort,4574
8600,Random,Standard Merge Sort,20301
8600,Random,Hybrid Merge+Insertion Sort,5611
8600,Reverse Sorted,Standard Merge Sort,17795
8600,Reverse Sorted,Hybrid Merge+Insertion Sort,4691
8600,Nearly Sorted,Standard Merge Sort,18951
8600,Nearly Sorted,Hybrid Merge+Insertion Sort,4725
8700,Random,Standard Merge Sort,19307
8700,Random,Hybrid Merge+Insertion Sort,5654
8700,Reverse Sorted,Standard Merge Sort,18939
8700,Reverse Sorted,Hybrid Merge+Insertion Sort,4709
8700,Nearly Sorted,Standard Merge Sort,18573
8700,Nearly Sorted,Hybrid Merge+Insertion Sort,4636
8800,Random,Standard Merge Sort,21275
8800,Random,Hybrid Merge+Insertion Sort,5662
8800,Reverse Sorted,Standard Merge Sort,18509
8800,Reverse Sorted,Hybrid Merge+Insertion Sort,5004
8800,Nearly Sorted,Standard Merge Sort,19914
8800,Nearly Sorted,Hybrid Merge+Insertion Sort,6080
8900,Random,Standard Merge Sort,20576
8900,Random,Hybrid Merge+Insertion Sort,6513
8900,Reverse Sorted,Standard Merge Sort,19558
